Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Q8BPM6,RIC3_MOUSE,reviewed,Protein RIC-3 (Resistant to inhibitor of cholinesterase 3),Ric3,Mus musculus (Mouse),367
P0C7A3,MBOA4_MOUSE,reviewed,Ghrelin O-acyltransferase (EC 2.3.1.-) (Membrane-bound O-acyltransferase domain-containing protein 4) (O-acyltransferase domain-containing protein 4),Mboat4 Gm171 Goat,Mus musculus (Mouse),435
P61014,PPLA_MOUSE,reviewed,Cardiac phospholamban (PLB),Pln,Mus musculus (Mouse),52
Q8K3Z9,PO121_MOUSE,reviewed,Nuclear envelope pore membrane protein POM 121 (Nucleoporin Nup121) (Pore membrane protein of 121 kDa),Pom121 Nup121,Mus musculus (Mouse),1200
Q8BGH4,REEP1_MOUSE,reviewed,Receptor expression-enhancing protein 1,Reep1 D6Ertd253e,Mus musculus (Mouse),201
P59481,LMA2L_MOUSE,reviewed,VIP36-like protein (Lectin mannose-binding 2-like) (LMAN2-like protein),Lman2l Vipl,Mus musculus (Mouse),347
Q8BH98,MBOA1_MOUSE,reviewed,Lysophospholipid acyltransferase 1 (LPLAT 1) (EC 2.3.1.-) (1-acylglycerophosphoethanolamine O-acyltransferase) (EC 2.3.1.n7) (1-acylglycerophosphoserine O-acyltransferase) (EC 2.3.1.n6) (Lysophosphatidylethanolamine acyltransferase) (LPEAT) (Lyso-PE acyltransferase) (Lysophosphatidylserine acyltransferase) (LPSAT) (Lyso-PS acyltransferase) (Membrane-bound O-acyltransferase domain-containing protein 1) (O-acyltransferase domain-containing protein 1),Mboat1 Lpeat1 Oact1,Mus musculus (Mouse),492
A2RST1,MGST2_MOUSE,reviewed,Microsomal glutathione S-transferase 2 (Microsomal GST-2) (EC 2.5.1.18) (Glutathione peroxidase MGST2) (EC 1.11.1.-) (Leukotriene C4 synthase MGST2) (EC 4.4.1.20) (Microsomal glutathione S-transferase II) (Microsomal GST-II),Mgst2 Gst2,Mus musculus (Mouse),147
Q9ER64,OSBL5_MOUSE,reviewed,Oxysterol-binding protein-related protein 5 (ORP-5) (OSBP-related protein 5) (Oxysterol-binding protein homolog 1),Osbpl5 Obph1 Osbp2,Mus musculus (Mouse),874
Q9Z280,PLD1_MOUSE,reviewed,Phospholipase D1 (PLD 1) (mPLD1) (EC 3.1.4.4) (Choline phosphatase 1) (Phosphatidylcholine-hydrolyzing phospholipase D1),Pld1,Mus musculus (Mouse),1074
F2YMG0,PRS56_MOUSE,reviewed,Serine protease 56 (EC 3.4.21.-),Prss56,Mus musculus (Mouse),604
O88572,LRP6_MOUSE,reviewed,Low-density lipoprotein receptor-related protein 6 (LRP-6),Lrp6,Mus musculus (Mouse),1613
Q9ESE1,LRBA_MOUSE,reviewed,Lipopolysaccharide-responsive and beige-like anchor protein (Beige-like protein),Lrba Bgl Lba,Mus musculus (Mouse),2856
Q8BGR2,LRC8D_MOUSE,reviewed,Volume-regulated anion channel subunit LRRC8D (Leucine-rich repeat-containing protein 5) (Leucine-rich repeat-containing protein 8D),Lrrc8d Lrrc5,Mus musculus (Mouse),859
Q9D159,MRAP_MOUSE,reviewed,Melanocortin-2 receptor accessory protein (Fat cell-specific low molecular weight protein) (Fat tissue-specific low MW protein),Mrap Falp,Mus musculus (Mouse),127
Q9D8I1,MZB1_MOUSE,reviewed,Marginal zone B- and B1-cell-specific protein (Plasma cell-induced resident endoplasmic reticulum protein) (Plasma cell-induced resident ER protein) (pERp1) (Proapoptotic caspase adapter protein),Mzb1 Pacap,Mus musculus (Mouse),188
Q9DA75,NLS1_MOUSE,reviewed,Sodium-dependent lysophosphatidylcholine symporter 1 (NLS1) (Sodium-dependent LPC symporter 1) (Major facilitator superfamily domain-containing protein 2A),Mfsd2a Mfsd2 Nls1,Mus musculus (Mouse),534
Q99LJ8,NGBR_MOUSE,reviewed,Dehydrodolichyl diphosphate synthase complex subunit Nus1 (EC 2.5.1.87) (Nogo-B receptor) (NgBR) (Nuclear undecaprenyl pyrophosphate synthase 1 homolog),Nus1 D10Ertd438e Ngbr,Mus musculus (Mouse),297
B5TVM2,ILDR2_MOUSE,reviewed,Immunoglobulin-like domain-containing receptor 2 (Lisch-like isoform 1),Ildr2 D1Ertd471e Ll,Mus musculus (Mouse),661
Q6GV12,KDSR_MOUSE,reviewed,3-ketodihydrosphingosine reductase (KDS reductase) (EC 1.1.1.102) (3-dehydrosphinganine reductase) (Follicular variant translocation protein 1 homolog) (FVT-1),Kdsr Fvt1,Mus musculus (Mouse),332
Q8C3X8,LMF2_MOUSE,reviewed,Lipase maturation factor 2 (Transmembrane protein 112B) (Transmembrane protein 153),Lmf2 Tmem112b Tmem153,Mus musculus (Mouse),702
Q7TQE6,MACOI_MOUSE,reviewed,Macoilin (Brain-specific adapter protein C61) (Macoilin-1) (Transmembrane protein 57),Maco1 Tmem57,Mus musculus (Mouse),664
O70628,PDE9A_MOUSE,reviewed,"High affinity cGMP-specific 3',5'-cyclic phosphodiesterase 9A (EC 3.1.4.35)",Pde9a Pde8b,Mus musculus (Mouse),534
Q9CXR4,PIGC_MOUSE,reviewed,Phosphatidylinositol N-acetylglucosaminyltransferase subunit C (EC 2.4.1.198) (Phosphatidylinositol-glycan biosynthesis class C protein) (PIG-C),Pigc,Mus musculus (Mouse),297
Q99LV7,PIGX_MOUSE,reviewed,Phosphatidylinositol-glycan biosynthesis class X protein (PIG-X),Pigx,Mus musculus (Mouse),254
Q8BYB9,PGLT1_MOUSE,reviewed,Protein O-glucosyltransferase 1 (EC 2.4.1.376) (CAP10-like 46 kDa protein) (KTEL motif-containing protein 1) (O-glucosyltransferase Rumi homolog) (Rumi) (Protein O-xylosyltransferase POGLUT1) (EC 2.4.2.63) (Wing-shaped neural plate protein) (Wsnp),Poglut1 Clp46 Ktelc1,Mus musculus (Mouse),392
Q9D517,PLCC_MOUSE,reviewed,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 3) (1-AGP acyltransferase 3) (1-AGPAT 3) (Lysophosphatidic acid acyltransferase gamma) (LPAAT-gamma),Agpat3 Lpaat3,Mus musculus (Mouse),376
O35074,PTGIS_MOUSE,reviewed,Prostacyclin synthase (EC 5.3.99.4) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152) (Prostaglandin I2 synthase),Ptgis Cyp8,Mus musculus (Mouse),501
Q3U9G9,LBR_MOUSE,reviewed,Delta(14)-sterol reductase LBR (Delta-14-SR) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (C-14 sterol reductase) (C14SR) (Integral nuclear envelope inner membrane protein) (Lamin-B receptor) (Sterol C14-reductase),Lbr,Mus musculus (Mouse),626
Q8R3I2,MBOA2_MOUSE,reviewed,Lysophospholipid acyltransferase 2 (LPLAT 2) (EC 2.3.1.-) (1-acylglycerophosphocholine O-acyltransferase) (EC 2.3.1.23) (1-acylglycerophosphoethanolamine O-acyltransferase) (EC 2.3.1.n7) (Lysophosphatidylcholine acyltransferase) (LPCAT) (Lyso-PC acyltransferase) (Lysophosphatidylcholine acyltransferase 4) (Lyso-PC acyltransferase 4) (mLPCAT4) (Lysophosphatidylethanolamine acyltransferase) (LPEAT) (Lyso-PE acyltransferase) (Membrane-bound O-acyltransferase domain-containing protein 2) (O-acyltransferase domain-containing protein 2),Mboat2 Lpcat4 Oact2,Mus musculus (Mouse),519
Q9CPU4,MGST3_MOUSE,reviewed,Microsomal glutathione S-transferase 3 (Microsomal GST-3) (Glutathione peroxidase MGST3) (EC 1.11.1.-) (Microsomal glutathione S-transferase III) (Microsomal GST-III),Mgst3,Mus musculus (Mouse),153
Q8BXQ2,PIGT_MOUSE,reviewed,GPI transamidase component PIG-T (Neuronal development-associated protein 7) (Phosphatidylinositol-glycan biosynthesis class T protein),Pigt Ndap7,Mus musculus (Mouse),582
O08807,PRDX4_MOUSE,reviewed,Peroxiredoxin-4 (EC 1.11.1.24) (Antioxidant enzyme AOE372) (Peroxiredoxin IV) (Prx-IV) (Thioredoxin peroxidase AO372) (Thioredoxin-dependent peroxide reductase A0372) (Thioredoxin-dependent peroxiredoxin 4),Prdx4,Mus musculus (Mouse),274
Q8JZR0,ACSL5_MOUSE,reviewed,Long-chain-fatty-acid--CoA ligase 5 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 5) (LACS 5),Acsl5 Facl5,Mus musculus (Mouse),683
Q8R429,AT2A1_MOUSE,reviewed,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 (SERCA1) (SR Ca(2+)-ATPase 1) (EC 7.2.2.10) (Calcium pump 1) (Calcium-transporting ATPase sarcoplasmic reticulum type, fast twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)",Atp2a1,Mus musculus (Mouse),994
Q8BLY7,HPS6_MOUSE,reviewed,Hermansky-Pudlak syndrome 6 protein homolog (Ruby-eye protein) (Ru),Hps6 Ru,Mus musculus (Mouse),805
P63242,IF5A1_MOUSE,reviewed,Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (eIF-5A1) (Eukaryotic initiation factor 5A isoform 1) (eIF-5A) (eIF-4D),Eif5a,Mus musculus (Mouse),154
Q5XKN4,JAGN1_MOUSE,reviewed,Protein jagunal homolog 1,Jagn1,Mus musculus (Mouse),183
Q5NCH9,GRM6_MOUSE,reviewed,Metabotropic glutamate receptor 6 (mGluR6),Grm6 Gprc1f Mglur6,Mus musculus (Mouse),871
Q8CB44,GRAM4_MOUSE,reviewed,GRAM domain-containing protein 4 (Death-inducing protein),Gramd4 Dip Kiaa0767,Mus musculus (Mouse),633
Q99MI6,GIMA3_MOUSE,reviewed,GTPase IMAP family member 3 (Immunity-associated nucleotide 4 protein) (IAN-4),Gimap3 Ian4,Mus musculus (Mouse),301
Q9QY80,HACD1_MOUSE,reviewed,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 1) (HACD1) (Protein-tyrosine phosphatase-like member A),Hacd1 Ptpla,Mus musculus (Mouse),281
Q8BZT9,LACC1_MOUSE,reviewed,Purine nucleoside phosphorylase LACC1 (EC 2.4.2.1) (Adenosine deaminase LACC1) (EC 3.5.4.4) (Fatty acid metabolism-immunity nexus) (Guanosine phosphorylase LACC1) (Laccase domain-containing protein 1) (S-methyl-5'-thioadenosine phosphorylase LACC1) (EC 2.4.2.28),Lacc1 Famin,Mus musculus (Mouse),430
Q91VS7,MGST1_MOUSE,reviewed,Microsomal glutathione S-transferase 1 (Microsomal GST-1) (EC 2.5.1.18) (Microsomal GST-I),Mgst1,Mus musculus (Mouse),155
Q91ZV4,MOGT1_MOUSE,reviewed,2-acylglycerol O-acyltransferase 1 (EC 2.3.1.22) (Acyl-CoA:monoacylglycerol acyltransferase 1) (MGAT1) (Diacylglycerol acyltransferase 2-like protein 1) (Monoacylglycerol O-acyltransferase 1),Mogat1 Dgat2l1,Mus musculus (Mouse),335
A2AKM2,HACD4_MOUSE,reviewed,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 4 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 4) (HACD4) (Protein-tyrosine phosphatase-like A domain-containing protein 2),Hacd4 Ptplad2,Mus musculus (Mouse),232
Q6NVG7,GT252_MOUSE,reviewed,Procollagen galactosyltransferase 2 (EC 2.4.1.50) (Collagen beta(1-O)galactosyltransferase 2) (Glycosyltransferase 25 family member 2) (Hydroxylysine galactosyltransferase 2),Colgalt2 Glt25d2,Mus musculus (Mouse),625
Q9D8V0,HM13_MOUSE,reviewed,Minor histocompatibility antigen H13 (EC 3.4.23.-) (Presenilin-like protein 3) (Signal peptide peptidase),Hm13 H13 Psl3,Mus musculus (Mouse),378
Q922Z1,LDAF1_MOUSE,reviewed,Lipid droplet assembly factor 1 (Promethin) (Transmembrane protein 159),Tmem159 Ldaf1,Mus musculus (Mouse),161
Q8K2C9,HACD3_MOUSE,reviewed,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 3) (HACD3) (Butyrate-induced protein 1) (B-ind1) (Protein-tyrosine phosphatase-like A domain-containing protein 1),Hacd3 Ptplad1,Mus musculus (Mouse),362
Q9DBZ1,IKIP_MOUSE,reviewed,Inhibitor of nuclear factor kappa-B kinase-interacting protein (I kappa-B kinase-interacting protein) (IKBKB-interacting protein) (IKK-interacting protein),Ikbip Ikip,Mus musculus (Mouse),373
Q3KNM2,MARH5_MOUSE,reviewed,E3 ubiquitin-protein ligase MARCHF5 (EC 2.3.2.27) (Membrane-associated RING finger protein 5) (Membrane-associated RING-CH protein V) (MARCH-V) (RING-type E3 ubiquitin transferase MARCHF5),Marchf5 March5,Mus musculus (Mouse),278
O88998,NOE1_MOUSE,reviewed,Noelin (Neuronal olfactomedin-related ER localized protein) (Olfactomedin-1) (Pancortin),Olfm1 Noe1 Noel Noel1,Mus musculus (Mouse),485
Q5PT53,NTCP7_MOUSE,reviewed,Sodium/bile acid cotransporter 7 (Na(+)/bile acid cotransporter 7) (Solute carrier family 10 member 7),Slc10a7 P7,Mus musculus (Mouse),340
Q5YD48,A1CF_MOUSE,reviewed,APOBEC1 complementation factor (APOBEC1-stimulating protein),A1cf Acf Asp,Mus musculus (Mouse),595
P20764,IGLL1_MOUSE,reviewed,Immunoglobulin lambda-like polypeptide 1 (CD179 antigen-like family member B) (Ig lambda-5) (CD antigen CD179b),Igll1 Igl-5,Mus musculus (Mouse),209
O70624,MYOC_MOUSE,reviewed,"Myocilin (Trabecular meshwork-induced glucocorticoid response protein) [Cleaved into: Myocilin, N-terminal fragment (Myocilin 20 kDa N-terminal fragment); Myocilin, C-terminal fragment (Myocilin 35 kDa N-terminal fragment)]",Myoc Tigr,Mus musculus (Mouse),490
S4R2P9,NAC3_MOUSE,reviewed,Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3),Slc8a3 Ncx3,Mus musculus (Mouse),928
Q9CQ45,NENF_MOUSE,reviewed,Neudesin (Neuron-derived neurotrophic factor) (Secreted protein of unknown function) (SPUF protein),Nenf Spuf,Mus musculus (Mouse),171
Q14AT5,ANO7_MOUSE,reviewed,Anoctamin-7 (New gene expressed in prostate homolog) (Transmembrane protein 16G),Ano7 Ngep Tmem16g,Mus musculus (Mouse),859
Q5DRQ8,FCRLB_MOUSE,reviewed,Fc receptor-like B (Fc receptor homolog expressed in B-cells protein 2) (FREB-2) (Fc receptor-like and mucin-like protein 2) (Fc receptor-like protein 2) (Fc receptor-related protein Y) (FcRY),Fcrlb Fcrl2 Fcrlm2 Fcry Freb2,Mus musculus (Mouse),427
P97501,FMO3_MOUSE,reviewed,Dimethylaniline monooxygenase [N-oxide-forming] 3 (EC 1.14.13.8) (EC 1.14.14.73) (Dimethylaniline oxidase 3) (Hepatic flavin-containing monooxygenase 3) (FMO 3) (Trimethylamine monooxygenase) (EC 1.14.13.148),Fmo3,Mus musculus (Mouse),534
Q8BMT9,HHAT_MOUSE,reviewed,Protein-cysteine N-palmitoyltransferase HHAT (EC 2.3.1.-) (Hedgehog acyltransferase) (Skinny hedgehog protein),Hhat Skn,Mus musculus (Mouse),499
P63141,KCNA2_MOUSE,reviewed,Potassium voltage-gated channel subfamily A member 2 (MK2) (Voltage-gated potassium channel subunit Kv1.2),Kcna2,Mus musculus (Mouse),499
Q9Z2D0,MTMR9_MOUSE,reviewed,Myotubularin-related protein 9 (Inactive phosphatidylinositol 3-phosphatase 9),Mtmr9 Mtmr3,Mus musculus (Mouse),545
Q8VCM8,NCLN_MOUSE,reviewed,Nicalin (Nicastrin-like protein),Ncln,Mus musculus (Mouse),563
Q8BZL1,NEUR4_MOUSE,reviewed,Sialidase-4 (EC 3.2.1.18) (N-acetyl-alpha-neuraminidase 4) (Neuraminidase 4),Neu4,Mus musculus (Mouse),478
O35469,3BHS6_MOUSE,reviewed,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 6 (EC 1.1.1.-) (3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type VI) (3-beta-HSD VI) [Includes: 3-beta-hydroxy-Delta(5)-steroid dehydrogenase (EC 1.1.1.145) (3-beta-hydroxy-5-ene steroid dehydrogenase) (Progesterone reductase); Steroid Delta-isomerase (EC 5.3.3.1) (Delta-5-3-ketosteroid isomerase)],Hsd3b6,Mus musculus (Mouse),373
Q61694,3BHS5_MOUSE,reviewed,NADPH-dependent 3-keto-steroid reductase Hsd3b5 (3 beta-hydroxysteroid dehydrogenase type 5) (3 beta-hydroxysteroid dehydrogenase type V) (3 beta-HSD V) (EC 1.1.1.270) (Dihydrotestosterone 3-ketoreductase) (EC 1.1.1.210),Hsd3b5,Mus musculus (Mouse),373
Q9QUJ7,ACSL4_MOUSE,reviewed,Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 4) (LACS 4) (mACS4),Acsl4 Acs4 Facl4,Mus musculus (Mouse),711
Q3UY90,GAK1A_MOUSE,reviewed,Golgi-associated kinase 1A (Protein FAM198A),Gask1a Fam198a,Mus musculus (Mouse),562
O54984,GET3_MOUSE,reviewed,"ATPase GET3 (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Guided entry of tail-anchored proteins factor 3, ATPase)",Get3 Arsa Asna1,Mus musculus (Mouse),348
Q8VEI3,HYAL3_MOUSE,reviewed,Hyaluronidase-3 (Hyal-3) (EC 3.2.1.35) (Hyaluronoglucosaminidase-3),Hyal3 Hyl3,Mus musculus (Mouse),412
Q922Q8,LRC59_MOUSE,reviewed,"Leucine-rich repeat-containing protein 59 [Cleaved into: Leucine-rich repeat-containing protein 59, N-terminally processed]",Lrrc59,Mus musculus (Mouse),307
Q60664,IRAG2_MOUSE,reviewed,"Inositol 1,4,5-triphosphate receptor associated 2 (Lymphoid-restricted membrane protein) (Protein Jaw1) [Cleaved into: Processed inositol 1,4,5-triphosphate receptor associated 2]",Irag2 Jaw1 Lrmp,Mus musculus (Mouse),539
Q69ZK5,KLH14_MOUSE,reviewed,Kelch-like protein 14 (Protein interactor of Torsin-1A) (Printor) (Protein interactor of torsinA),Klhl14 Kiaa1384,Mus musculus (Mouse),630
Q91YX5,LGAT1_MOUSE,reviewed,Acyl-CoA:lysophosphatidylglycerol acyltransferase 1 (EC 2.3.1.-),Lpgat1 Fam34a,Mus musculus (Mouse),370
Q9CXI3,MOXD1_MOUSE,reviewed,DBH-like monooxygenase protein 1 (EC 1.14.17.-) (DBH-related protein) (Monooxygenase X),Moxd1 Dbhr Mox,Mus musculus (Mouse),613
Q9R1J0,NSDHL_MOUSE,reviewed,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating (EC 1.1.1.170)",Nsdhl,Mus musculus (Mouse),362
Q9D1G3,HHATL_MOUSE,reviewed,Protein-cysteine N-palmitoyltransferase HHAT-like protein (Glycerol uptake/transporter homolog) (Hedgehog acyltransferase-like protein),Hhatl Gup1 Kiaa1173,Mus musculus (Mouse),503
Q8K3Y3,LN28A_MOUSE,reviewed,Protein lin-28 homolog A (Lin-28A) (Testis-expressed protein 17),Lin28a Lin28 Tex17,Mus musculus (Mouse),209
Q99M51,NCK1_MOUSE,reviewed,Cytoplasmic protein NCK1 (NCK adaptor protein 1) (Nck-1),Nck1,Mus musculus (Mouse),377
Q9Z2V4,PCKGC_MOUSE,reviewed,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] (PEPCK-C) (EC 4.1.1.32) (Serine-protein kinase PCK1) (EC 2.7.11.-)",Pck1 Pepck,Mus musculus (Mouse),622
Q8BR76,MKS3_MOUSE,reviewed,Meckelin (Meckel syndrome type 3 protein homolog) (Transmembrane protein 67),Tmem67 Mks3,Mus musculus (Mouse),992
Q8VE11,MTMR6_MOUSE,reviewed,"Myotubularin-related protein 6 (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64)",Mtmr6,Mus musculus (Mouse),617
O55241,OREX_MOUSE,reviewed,Orexin (Hypocretin) (Hcrt) [Cleaved into: Orexin-A (Hypocretin-1) (Hcrt1); Orexin-B (Hypocretin-2) (Hcrt2)],Hcrt Ox Ppox,Mus musculus (Mouse),130
Q8CG70,P3H3_MOUSE,reviewed,Prolyl 3-hydroxylase 3 (EC 1.14.11.7) (Leprecan-like protein 2) (Protein B),P3h3 Leprel2,Mus musculus (Mouse),732
Q8CG71,P3H2_MOUSE,reviewed,Prolyl 3-hydroxylase 2 (EC 1.14.11.7) (Leprecan-like protein 1),P3h2 Leprel1,Mus musculus (Mouse),703
Q6W3F0,P4HA3_MOUSE,reviewed,"Prolyl 4-hydroxylase subunit alpha-3 (4-PH alpha-3) (EC 1.14.11.2) (Procollagen-proline,2-oxoglutarate-4-dioxygenase subunit alpha-3)",P4ha3,Mus musculus (Mouse),542
Q01237,HMDH_MOUSE,reviewed,3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34),Hmgcr,Mus musculus (Mouse),887
Q2TUM3,KCNRG_MOUSE,reviewed,Potassium channel regulatory protein (Potassium channel regulator) (Protein CLLD4),Kcnrg Clld4,Mus musculus (Mouse),264
P11928,OAS1A_MOUSE,reviewed,2'-5'-oligoadenylate synthase 1A ((2-5')oligo(A) synthase 1A) (2-5A synthase 1A) (EC 2.7.7.84) (p42 OAS),Oas1a Oias1,Mus musculus (Mouse),367
Q811Q9,PCY1B_MOUSE,reviewed,Choline-phosphate cytidylyltransferase B (EC 2.7.7.15) (CCT-beta) (CTP:phosphocholine cytidylyltransferase B) (CCT B) (CT B) (Phosphorylcholine transferase B),Pcyt1b,Mus musculus (Mouse),369
Q9EPB4,ASC_MOUSE,reviewed,Apoptosis-associated speck-like protein containing a CARD (mASC) (PYD and CARD domain-containing protein),Pycard Asc,Mus musculus (Mouse),193
Q61097,KSR1_MOUSE,reviewed,Kinase suppressor of Ras 1 (mKSR1) (EC 2.7.11.1) (Protein Hb),Ksr1 Ksr,Mus musculus (Mouse),873
Q9Z2L6,MINP1_MOUSE,reviewed,"Multiple inositol polyphosphate phosphatase 1 (EC 3.1.3.62) (2,3-bisphosphoglycerate 3-phosphatase) (2,3-BPG phosphatase) (EC 3.1.3.80) (Inositol (1,3,4,5)-tetrakisphosphate 3-phosphatase) (Ins(1,3,4,5)P(4) 3-phosphatase)",Minpp1 Mipp MNCb-1572,Mus musculus (Mouse),481
Q8VEL0,MSPD1_MOUSE,reviewed,Motile sperm domain-containing protein 1,Mospd1,Mus musculus (Mouse),213
Q3V3Q7,PACS2_MOUSE,reviewed,Phosphofurin acidic cluster sorting protein 2 (PACS-2) (PACS1-like protein),Pacs2 Kiaa0602 Pacs1l,Mus musculus (Mouse),862
O35245,PKD2_MOUSE,reviewed,Polycystin-2 (Polycystic kidney disease 2 protein homolog) (Transient receptor potential cation channel subfamily P member 2),Pkd2 TRPP2,Mus musculus (Mouse),966
O35600,ABCA4_MOUSE,reviewed,Retinal-specific phospholipid-transporting ATPase ABCA4 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 4) (RIM ABC transporter) (RIM protein) (RmP) (Retinal-specific ATP-binding cassette transporter),Abca4 Abcr,Mus musculus (Mouse),2310
Q32KI9,ARSI_MOUSE,reviewed,Arylsulfatase I (ASI) (EC 3.1.6.-),Arsi,Mus musculus (Mouse),573
Q6NVG1,LPCT4_MOUSE,reviewed,Lysophospholipid acyltransferase LPCAT4 (1-acylglycerol-3-phosphate O-acyltransferase 7) (1-AGP acyltransferase 7) (1-AGPAT 7) (1-acylglycerophosphocholine O-acyltransferase) (EC 2.3.1.23) (1-acylglycerophosphoserine O-acyltransferase) (EC 2.3.1.n6) (1-alkenylglycerophosphoethanolamine O-acyltransferase) (EC 2.3.1.121) (1-alkylglycerophosphocholine O-acetyltransferase) (EC 2.3.1.67) (Acyltransferase-like 3) (Lysophosphatidylcholine acyltransferase 4) (Lysophosphatidylethanolamine acyltransferase 2) (EC 2.3.1.n7) (Plasmalogen synthase),Lpcat4 Agpat7 Aytl3,Mus musculus (Mouse),524
Q66JT1,LRC8E_MOUSE,reviewed,Volume-regulated anion channel subunit LRRC8E (Leucine-rich repeat-containing protein 8E),Lrrc8e,Mus musculus (Mouse),795
Q8K2C7,OS9_MOUSE,reviewed,Protein OS-9,Os9,Mus musculus (Mouse),672
O35083,PLCA_MOUSE,reviewed,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha (EC 2.3.1.51) (1-acylglycerol-3-phosphate O-acyltransferase 1) (1-AGP acyltransferase 1) (1-AGPAT 1) (Lysophosphatidic acid acyltransferase alpha) (LPAAT-alpha),Agpat1,Mus musculus (Mouse),285
Q9R0B9,PLOD2_MOUSE,reviewed,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2)",Plod2,Mus musculus (Mouse),737
A2AUC9,KLH41_MOUSE,reviewed,Kelch-like protein 41 (Kelch repeat and BTB domain-containing protein 10),Klhl41 Kbtbd10,Mus musculus (Mouse),606
Q9D0F3,LMAN1_MOUSE,reviewed,Protein ERGIC-53 (ER-Golgi intermediate compartment 53 kDa protein) (Lectin mannose-binding 1) (p58),Lman1 Ergic53,Mus musculus (Mouse),517
O35099,M3K5_MOUSE,reviewed,Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 1) (ASK-1) (MAPK/ERK kinase kinase 5) (MEK kinase 5) (MEKK 5),Map3k5 Ask1 Mekk5,Mus musculus (Mouse),1380
Q8CHK3,MBOA7_MOUSE,reviewed,Lysophospholipid acyltransferase 7 (LPLAT 7) (EC 2.3.1.-) (1-acylglycerophosphatidylinositol O-acyltransferase) (EC 2.3.1.n4) (Bladder and breast carcinoma-overexpressed gene 1 protein) (Leukocyte receptor cluster member 4) (Lysophosphatidylinositol acyltransferase 1) (LPIAT1) (Membrane-bound O-acyltransferase domain-containing protein 7) (O-acyltransferase domain-containing protein 7) (m-mboa-7),Mboat7 Bb1 Leng4 Lpiat1 Oact7,Mus musculus (Mouse),473
Q8CIV2,MBRL_MOUSE,reviewed,Membralin (Transmembrane protein 259),Tmem259 ORF61,Mus musculus (Mouse),574
E0CYC6,NAT8B_MOUSE,reviewed,Putative N-acetyltransferase 8B (EC 2.3.1.-) (Camello-like protein 2) (Putative acetyltransferase 1) (ATase1),Nat8b-ps Cml2,Mus musculus (Mouse),232
Q60696,PMEL_MOUSE,reviewed,Melanocyte protein PMEL (Melanocyte protein Pmel 17) (Premelanosome protein) (Silver locus protein) [Cleaved into: M-alpha; M-beta],Pmel D10H12S53E Pmel17 Si Silv,Mus musculus (Mouse),626
Q3U0D9,HACE1_MOUSE,reviewed,E3 ubiquitin-protein ligase HACE1 (EC 2.3.2.26) (HECT domain and ankyrin repeat-containing E3 ubiquitin-protein ligase 1) (HECT-type E3 ubiquitin transferase HACE1),Hace1 Kiaa1320,Mus musculus (Mouse),909
P0DP60,LYNX1_MOUSE,reviewed,Ly-6/neurotoxin-like protein 1 (GC26),Lynx1,Mus musculus (Mouse),116
A2A559,PGAP3_MOUSE,reviewed,Post-GPI attachment to proteins factor 3 (PER1-like domain-containing protein 1),Pgap3 Perld1,Mus musculus (Mouse),320
