Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (cellular component)	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology (molecular function)	Subcellular location [CC]
A0A1W2P737	unreviewed	A0A1W2P737_MOUSE	Pericentrin (kendrin)	Pcnt	Mus musculus (Mouse)	2898	cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]	signal transduction [GO:0007165]	cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]; molecular adaptor activity [GO:0060090]; signal transduction [GO:0007165]	molecular adaptor activity [GO:0060090]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000256|ARBA:ARBA00004300}.
A0A1W2P812	unreviewed	A0A1W2P812_MOUSE	Ankyrin 3, epithelial	Ank3	Mus musculus (Mouse)	1758	cytoskeleton [GO:0005856]; membrane [GO:0016020]	localization [GO:0051179]; signal transduction [GO:0007165]	cytoskeleton [GO:0005856]; membrane [GO:0016020]; localization [GO:0051179]; signal transduction [GO:0007165]		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}. Membrane {ECO:0000256|ARBA:ARBA00004370}.
A0A1Y7VJ48	unreviewed	A0A1Y7VJ48_MOUSE	Tubulin-specific chaperone A	Tbca	Mus musculus (Mouse)	84	cytoplasm [GO:0005737]; microtubule [GO:0005874]	post-chaperonin tubulin folding pathway [GO:0007023]; tubulin complex assembly [GO:0007021]	cytoplasm [GO:0005737]; microtubule [GO:0005874]; beta-tubulin binding [GO:0048487]; post-chaperonin tubulin folding pathway [GO:0007023]; tubulin complex assembly [GO:0007021]	beta-tubulin binding [GO:0048487]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|RuleBase:RU364030}.
A0A1Y7VJA2	unreviewed	A0A1Y7VJA2_MOUSE	Ena-vasodilator stimulated phosphoprotein	Evl	Mus musculus (Mouse)	426	cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]	actin polymerization or depolymerization [GO:0008154]; negative regulation of epithelial cell migration [GO:0010633]; negative regulation of ruffle assembly [GO:1900028]; positive regulation of stress fiber assembly [GO:0051496]; protein homotetramerization [GO:0051289]	cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; actin binding [GO:0003779]; SH3 domain binding [GO:0017124]; actin polymerization or depolymerization [GO:0008154]; negative regulation of epithelial cell migration [GO:0010633]; negative regulation of ruffle assembly [GO:1900028]; positive regulation of stress fiber assembly [GO:0051496]; protein homotetramerization [GO:0051289]	actin binding [GO:0003779]; SH3 domain binding [GO:0017124]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}.
A0A217FL67	unreviewed	A0A217FL67_MOUSE	Echinoderm microtubule associated protein like 5	Eml5	Mus musculus (Mouse)	1930	cytoskeleton [GO:0005856]		cytoskeleton [GO:0005856]		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}.
A0A286YDJ4	unreviewed	A0A286YDJ4_MOUSE	Vinculin (Metavinculin)	Vcl	Mus musculus (Mouse)	149	cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; podosome [GO:0002102]	cell adhesion [GO:0007155]	cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; podosome [GO:0002102]; actin filament binding [GO:0051015]; cell adhesion [GO:0007155]	actin filament binding [GO:0051015]	SUBCELLULAR LOCATION: Cell projection, podosome {ECO:0000256|ARBA:ARBA00004188}. Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}.
A0A338P734	unreviewed	A0A338P734_MOUSE	Radial spoke 3B homolog (Chlamydomonas)	Rsph3b	Mus musculus (Mouse)	534	cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]		cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000256|ARBA:ARBA00004611}.
A0A338P7J7	unreviewed	A0A338P7J7_MOUSE	Radial spoke 3A homolog (Chlamydomonas)	Rsph3a	Mus musculus (Mouse)	515	cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]		cell projection [GO:0042995]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000256|ARBA:ARBA00004611}.
A0A3Q4EHV9	unreviewed	A0A3Q4EHV9_MOUSE	Echinoderm microtubule associated protein like 4	Eml4	Mus musculus (Mouse)	941	cytoskeleton [GO:0005856]; membrane [GO:0016020]		cytoskeleton [GO:0005856]; membrane [GO:0016020]		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}.
A0A494BAD0	unreviewed	A0A494BAD0_MOUSE	Catenin (cadherin associated protein), alpha 1	Ctnna1	Mus musculus (Mouse)	415	actin cytoskeleton [GO:0015629]; adherens junction [GO:0005912]; cytoplasm [GO:0005737]; plasma membrane [GO:0005886]	cell adhesion [GO:0007155]	actin cytoskeleton [GO:0015629]; adherens junction [GO:0005912]; cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; actin filament binding [GO:0051015]; cadherin binding [GO:0045296]; structural molecule activity [GO:0005198]; cell adhesion [GO:0007155]	actin filament binding [GO:0051015]; cadherin binding [GO:0045296]; structural molecule activity [GO:0005198]	SUBCELLULAR LOCATION: Cell junction, adherens junction {ECO:0000256|ARBA:ARBA00004536}. Cell membrane {ECO:0000256|ARBA:ARBA00004413}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004413}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00004413}. Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}. Membrane {ECO:0000256|ARBA:ARBA00004287}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004287}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00004287}.
A0A494BAM5	unreviewed	A0A494BAM5_MOUSE	Catenin (cadherin associated protein), alpha 1	Ctnna1	Mus musculus (Mouse)	156	cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]	cell adhesion [GO:0007155]	cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; actin filament binding [GO:0051015]; cadherin binding [GO:0045296]; cell adhesion [GO:0007155]	actin filament binding [GO:0051015]; cadherin binding [GO:0045296]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}.
A0A494BB26	unreviewed	A0A494BB26_MOUSE	HAUS augmin-like complex, subunit 1	Haus1	Mus musculus (Mouse)	293	centrosome [GO:0005813]; cytosol [GO:0005829]; HAUS complex [GO:0070652]; mitotic spindle microtubule [GO:1990498]	cell division [GO:0051301]; centrosome cycle [GO:0007098]; spindle assembly [GO:0051225]	centrosome [GO:0005813]; cytosol [GO:0005829]; HAUS complex [GO:0070652]; mitotic spindle microtubule [GO:1990498]; cell division [GO:0051301]; centrosome cycle [GO:0007098]; spindle assembly [GO:0051225]		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, spindle {ECO:0000256|ARBA:ARBA00004186}.
A0A571BEG4	unreviewed	A0A571BEG4_MOUSE	Protein 4.1 (Band 4.1) (Erythrocyte membrane protein band 4.1)	Epb41	Mus musculus (Mouse)	594	cell cortex [GO:0005938]; cytoskeleton [GO:0005856]; nucleus [GO:0005634]	cell cycle [GO:0007049]; cell division [GO:0051301]; cortical actin cytoskeleton organization [GO:0030866]	cell cortex [GO:0005938]; cytoskeleton [GO:0005856]; nucleus [GO:0005634]; actin binding [GO:0003779]; calmodulin binding [GO:0005516]; structural molecule activity [GO:0005198]; cell cycle [GO:0007049]; cell division [GO:0051301]; cortical actin cytoskeleton organization [GO:0030866]	actin binding [GO:0003779]; calmodulin binding [GO:0005516]; structural molecule activity [GO:0005198]	SUBCELLULAR LOCATION: Cytoplasm, cell cortex {ECO:0000256|ARBA:ARBA00004544}. Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}. Nucleus {ECO:0000256|ARBA:ARBA00004123}.
A0A571BF93	unreviewed	A0A571BF93_MOUSE	Microtubule-actin crosslinking factor 1	Macf1	Mus musculus (Mouse)	5323	cell projection [GO:0042995]; cytoplasm [GO:0005737]; membrane [GO:0016020]; microtubule [GO:0005874]	intermediate filament cytoskeleton organization [GO:0045104]	cell projection [GO:0042995]; cytoplasm [GO:0005737]; membrane [GO:0016020]; microtubule [GO:0005874]; actin binding [GO:0003779]; calcium ion binding [GO:0005509]; microtubule binding [GO:0008017]; intermediate filament cytoskeleton organization [GO:0045104]	actin binding [GO:0003779]; calcium ion binding [GO:0005509]; microtubule binding [GO:0008017]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}.
A0A571BGC6	unreviewed	A0A571BGC6_MOUSE	Microtubule-actin crosslinking factor 1	Macf1	Mus musculus (Mouse)	5309	cell projection [GO:0042995]; cytoplasm [GO:0005737]; membrane [GO:0016020]; microtubule [GO:0005874]	intermediate filament cytoskeleton organization [GO:0045104]	cell projection [GO:0042995]; cytoplasm [GO:0005737]; membrane [GO:0016020]; microtubule [GO:0005874]; actin binding [GO:0003779]; calcium ion binding [GO:0005509]; microtubule binding [GO:0008017]; intermediate filament cytoskeleton organization [GO:0045104]	actin binding [GO:0003779]; calcium ion binding [GO:0005509]; microtubule binding [GO:0008017]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}.
A0A571BGH0	unreviewed	A0A571BGH0_MOUSE	Voltage-gated potassium channel subunit beta-2 (K(+) channel subunit beta-2) (Kv-beta-2)	Kcnab2	Mus musculus (Mouse)	382	axon [GO:0030424]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; plasma membrane [GO:0005886]; synapse [GO:0045202]		axon [GO:0030424]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; plasma membrane [GO:0005886]; synapse [GO:0045202]; voltage-gated potassium channel activity [GO:0005249]	voltage-gated potassium channel activity [GO:0005249]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004413}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004413}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00004413}. Cell projection, axon {ECO:0000256|ARBA:ARBA00004489}. Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}. Membrane {ECO:0000256|ARBA:ARBA00004287}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004287}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00004287}. Synapse, synaptosome {ECO:0000256|ARBA:ARBA00034102}.
A0A5F8MPR6	unreviewed	A0A5F8MPR6_MOUSE	Intraflagellar transport protein 46 homolog	Ift46	Mus musculus (Mouse)	352	cilium [GO:0005929]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; intraciliary transport particle B [GO:0030992]	intraciliary transport [GO:0042073]	cilium [GO:0005929]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; intraciliary transport particle B [GO:0030992]; intraciliary transport [GO:0042073]		SUBCELLULAR LOCATION: Cell projection, cilium {ECO:0000256|ARBA:ARBA00004138}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000256|ARBA:ARBA00004120}.
A0A5F8MPZ2	unreviewed	A0A5F8MPZ2_MOUSE	Kinesin light chain	Klc1	Mus musculus (Mouse)	637	cytoplasm [GO:0005737]; kinesin complex [GO:0005871]; microtubule [GO:0005874]		cytoplasm [GO:0005737]; kinesin complex [GO:0005871]; microtubule [GO:0005874]		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245, ECO:0000256|RuleBase:RU367020}.
A0A668KLA2	unreviewed	A0A668KLA2_MOUSE	Dystrophin, muscular dystrophy	Dmd	Mus musculus (Mouse)	2332	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; postsynaptic membrane [GO:0045211]		cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; postsynaptic membrane [GO:0045211]; actin binding [GO:0003779]; zinc ion binding [GO:0008270]	actin binding [GO:0003779]; zinc ion binding [GO:0008270]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|PIRNR:PIRNR002341}.
A0A668KLC6	unreviewed	A0A668KLC6_MOUSE	Microtubule-associated protein	Map2	Mus musculus (Mouse)	1989	cytoplasm [GO:0005737]; microtubule [GO:0005874]	central nervous system neuron development [GO:0021954]; dendrite morphogenesis [GO:0048813]	cytoplasm [GO:0005737]; microtubule [GO:0005874]; dystroglycan binding [GO:0002162]; microtubule binding [GO:0008017]; central nervous system neuron development [GO:0021954]; dendrite morphogenesis [GO:0048813]	dystroglycan binding [GO:0002162]; microtubule binding [GO:0008017]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|RuleBase:RU000686}.
A0AUP1	reviewed	CC112_MOUSE	Coiled-coil domain-containing protein 112	Ccdc112	Mus musculus (Mouse)	442	centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]		centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite {ECO:0000250|UniProtKB:Q8NEF3}.
A0JLY1	reviewed	CF210_MOUSE	Cilia- and flagella- associated protein 210 (Coiled-coil domain-containing protein 173)	Cfap210 Ccdc173	Mus musculus (Mouse)	547	axonemal microtubule [GO:0005879]		axonemal microtubule [GO:0005879]		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000250|UniProtKB:E1BJL9}.
A1X3U7	unreviewed	A1X3U7_MOUSE	Dynein regulatory complex subunit 4 (Growth arrest-specific protein 8)	Gas8 Gas11	Mus musculus (Mouse)	318	cytoplasm [GO:0005737]; microtubule [GO:0005874]; motile cilium [GO:0031514]	cell motility [GO:0048870]	cytoplasm [GO:0005737]; microtubule [GO:0005874]; motile cilium [GO:0031514]; microtubule binding [GO:0008017]; small GTPase binding [GO:0031267]; cell motility [GO:0048870]	microtubule binding [GO:0008017]; small GTPase binding [GO:0031267]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, flagellum axoneme {ECO:0000256|ARBA:ARBA00004611}.
A2A5Y6	unreviewed	A2A5Y6_MOUSE	Microtubule-associated protein	Mapt	Mus musculus (Mouse)	749	axon [GO:0030424]; cytosol [GO:0005829]; dendrite [GO:0030425]; microtubule [GO:0005874]; plasma membrane [GO:0005886]		axon [GO:0030424]; cytosol [GO:0005829]; dendrite [GO:0030425]; microtubule [GO:0005874]; plasma membrane [GO:0005886]; microtubule binding [GO:0008017]	microtubule binding [GO:0008017]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004413}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004413}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00004413}. Cell projection, axon {ECO:0000256|ARBA:ARBA00004489}. Cell projection, dendrite {ECO:0000256|ARBA:ARBA00004279}. Cytoplasm, cytoskeleton {ECO:0000256|RuleBase:RU000686}. Cytoplasm, cytosol {ECO:0000256|ARBA:ARBA00004514}. Membrane {ECO:0000256|ARBA:ARBA00004287}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004287}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00004287}.
A2A7P9	unreviewed	A2A7P9_MOUSE	Small vasohibin-binding protein	Svbp Ccdc23	Mus musculus (Mouse)	102	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; extracellular region [GO:0005576]		cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; extracellular region [GO:0005576]		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}. Secreted {ECO:0000256|ARBA:ARBA00004613}.
A2A7Q0	unreviewed	A2A7Q0_MOUSE	Small vasohibin-binding protein	Svbp Ccdc23	Mus musculus (Mouse)	71	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; extracellular region [GO:0005576]		cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; extracellular region [GO:0005576]		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}. Secreted {ECO:0000256|ARBA:ARBA00004613}.
A2AD32	unreviewed	A2AD32_MOUSE	Protein 4.1 (Band 4.1) (Erythrocyte membrane protein band 4.1)	Epb41 Epb4.1	Mus musculus (Mouse)	767	cell cortex [GO:0005938]; cytoskeleton [GO:0005856]; nucleus [GO:0005634]	cell cycle [GO:0007049]; cell division [GO:0051301]; cortical actin cytoskeleton organization [GO:0030866]	cell cortex [GO:0005938]; cytoskeleton [GO:0005856]; nucleus [GO:0005634]; calmodulin binding [GO:0005516]; cytoskeletal protein binding [GO:0008092]; cell cycle [GO:0007049]; cell division [GO:0051301]; cortical actin cytoskeleton organization [GO:0030866]	calmodulin binding [GO:0005516]; cytoskeletal protein binding [GO:0008092]	SUBCELLULAR LOCATION: Cytoplasm, cell cortex {ECO:0000256|ARBA:ARBA00004544}. Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}. Nucleus {ECO:0000256|ARBA:ARBA00004123}.
A2AEH9	unreviewed	A2AEH9_MOUSE	Thymosin beta 15a	Tmsb15a	Mus musculus (Mouse)	79	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]	actin filament organization [GO:0007015]; regulation of cell migration [GO:0030334]; sequestering of actin monomers [GO:0042989]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; actin monomer binding [GO:0003785]; actin filament organization [GO:0007015]; regulation of cell migration [GO:0030334]; sequestering of actin monomers [GO:0042989]	actin monomer binding [GO:0003785]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}.
A2AF33	unreviewed	A2AF33_MOUSE	Thymosin beta	Tmsb15b1	Mus musculus (Mouse)	45	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]	actin filament organization [GO:0007015]; regulation of cell migration [GO:0030334]; sequestering of actin monomers [GO:0042989]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; actin monomer binding [GO:0003785]; actin filament organization [GO:0007015]; regulation of cell migration [GO:0030334]; sequestering of actin monomers [GO:0042989]	actin monomer binding [GO:0003785]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245, ECO:0000256|PIRNR:PIRNR001828}.
A2AKD7	unreviewed	A2AKD7_MOUSE	Syntrophin, acidic 1	Snta1	Mus musculus (Mouse)	499	anchoring junction [GO:0070161]; cytoskeleton [GO:0005856]; membrane [GO:0016020]		anchoring junction [GO:0070161]; cytoskeleton [GO:0005856]; membrane [GO:0016020]; structural molecule activity [GO:0005198]	structural molecule activity [GO:0005198]	SUBCELLULAR LOCATION: Cell junction {ECO:0000256|ARBA:ARBA00004282}. Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}.
A2AMW0	unreviewed	A2AMW0_MOUSE	F-actin-capping protein subunit beta	Capzb	Mus musculus (Mouse)	260	F-actin capping protein complex [GO:0008290]; sarcomere [GO:0030017]	actin cytoskeleton organization [GO:0030036]; barbed-end actin filament capping [GO:0051016]	F-actin capping protein complex [GO:0008290]; sarcomere [GO:0030017]; actin binding [GO:0003779]; actin cytoskeleton organization [GO:0030036]; barbed-end actin filament capping [GO:0051016]	actin binding [GO:0003779]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|RuleBase:RU365078}. Cytoplasm, myofibril, sarcomere {ECO:0000256|ARBA:ARBA00004204}.
A2AP89	unreviewed	A2AP89_MOUSE	Vinculin/alpha-catenin family member 1	Vinac1 Gm14025	Mus musculus (Mouse)	1413	adherens junction [GO:0005912]; catenin complex [GO:0016342]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]	cell migration [GO:0016477]; cell-cell adhesion [GO:0098609]	adherens junction [GO:0005912]; catenin complex [GO:0016342]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; actin filament binding [GO:0051015]; beta-catenin binding [GO:0008013]; cell migration [GO:0016477]; cell-cell adhesion [GO:0098609]	actin filament binding [GO:0051015]; beta-catenin binding [GO:0008013]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}.
A2AQ41	unreviewed	A2AQ41_MOUSE	Formin binding protein 1	Fnbp1	Mus musculus (Mouse)	615	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; plasma membrane [GO:0005886]	endocytosis [GO:0006897]; signal transduction [GO:0007165]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; plasma membrane [GO:0005886]; endocytosis [GO:0006897]; signal transduction [GO:0007165]		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}.
A2AQ42	unreviewed	A2AQ42_MOUSE	Formin binding protein 1	Fnbp1	Mus musculus (Mouse)	586	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; plasma membrane [GO:0005886]	endocytosis [GO:0006897]; signal transduction [GO:0007165]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; plasma membrane [GO:0005886]; endocytosis [GO:0006897]; signal transduction [GO:0007165]		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}.
A2AQ43	unreviewed	A2AQ43_MOUSE	Formin binding protein 1	Fnbp1	Mus musculus (Mouse)	554	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; plasma membrane [GO:0005886]	endocytosis [GO:0006897]; signal transduction [GO:0007165]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; plasma membrane [GO:0005886]; endocytosis [GO:0006897]; signal transduction [GO:0007165]		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}.
A2AQ44	unreviewed	A2AQ44_MOUSE	Formin binding protein 1	Fnbp1	Mus musculus (Mouse)	559	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; plasma membrane [GO:0005886]	endocytosis [GO:0006897]; signal transduction [GO:0007165]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; plasma membrane [GO:0005886]; endocytosis [GO:0006897]; signal transduction [GO:0007165]		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}.
A2AQ45	unreviewed	A2AQ45_MOUSE	Formin binding protein 1	Fnbp1	Mus musculus (Mouse)	591	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; plasma membrane [GO:0005886]	endocytosis [GO:0006897]; signal transduction [GO:0007165]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; plasma membrane [GO:0005886]; endocytosis [GO:0006897]; signal transduction [GO:0007165]		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}.
A2AUC6	unreviewed	A2AUC6_MOUSE	Bardet-Biedl syndrome 5 protein homolog	Bbs5	Mus musculus (Mouse)	320	BBSome [GO:0034464]; ciliary membrane [GO:0060170]; cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]	cell projection organization [GO:0030030]; protein transport [GO:0015031]	BBSome [GO:0034464]; ciliary membrane [GO:0060170]; cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]; cell projection organization [GO:0030030]; protein transport [GO:0015031]		SUBCELLULAR LOCATION: Cell projection, cilium membrane {ECO:0000256|ARBA:ARBA00004309, ECO:0000256|PIRNR:PIRNR010072}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite {ECO:0000256|ARBA:ARBA00004607}. Membrane {ECO:0000256|ARBA:ARBA00004370}.
A2AVR9	unreviewed	A2AVR9_MOUSE	Dynein light chain roadblock	Dynlrb1	Mus musculus (Mouse)	104	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; microtubule [GO:0005874]	microtubule-based movement [GO:0007018]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; microtubule [GO:0005874]; dynein intermediate chain binding [GO:0045505]; microtubule-based movement [GO:0007018]	dynein intermediate chain binding [GO:0045505]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245, ECO:0000256|PIRNR:PIRNR009998}.
A2VDF8	unreviewed	A2VDF8_MOUSE	Dynein light intermediate chain	Dync1li1	Mus musculus (Mouse)	141	cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; microtubule [GO:0005874]	microtubule-based movement [GO:0007018]	cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; microtubule [GO:0005874]; ATP binding [GO:0005524]; microtubule-based movement [GO:0007018]	ATP binding [GO:0005524]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000256|RuleBase:RU366047}.
A3KGU5	unreviewed	A3KGU5_MOUSE	Spectrin alpha, non-erythrocytic 1	Sptan1 Spna2	Mus musculus (Mouse)	2457	cell cortex [GO:0005938]; cytoskeleton [GO:0005856]	actin filament capping [GO:0051693]	cell cortex [GO:0005938]; cytoskeleton [GO:0005856]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; actin filament capping [GO:0051693]	calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]	SUBCELLULAR LOCATION: Cytoplasm, cell cortex {ECO:0000256|ARBA:ARBA00004544}. Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}.
A3KGU7	unreviewed	A3KGU7_MOUSE	Spectrin alpha, non-erythrocytic 1	Sptan1 Spna2	Mus musculus (Mouse)	2477	cell cortex [GO:0005938]; cytoskeleton [GO:0005856]	actin filament capping [GO:0051693]	cell cortex [GO:0005938]; cytoskeleton [GO:0005856]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; actin filament capping [GO:0051693]	calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]	SUBCELLULAR LOCATION: Cytoplasm, cell cortex {ECO:0000256|ARBA:ARBA00004544}. Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}.
A3KGU9	unreviewed	A3KGU9_MOUSE	Spectrin alpha, non-erythrocytic 1	Sptan1 Spna2	Mus musculus (Mouse)	2498	cell cortex [GO:0005938]; intracellular membrane-bounded organelle [GO:0043231]; microtubule cytoskeleton [GO:0015630]	actin filament capping [GO:0051693]	cell cortex [GO:0005938]; intracellular membrane-bounded organelle [GO:0043231]; microtubule cytoskeleton [GO:0015630]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; actin filament capping [GO:0051693]	calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]	SUBCELLULAR LOCATION: Cytoplasm, cell cortex {ECO:0000256|ARBA:ARBA00004544}. Cytoplasm, cytoskeleton {ECO:0000256|ARBA:ARBA00004245}.
