Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Subcellular location [CC]
Q64430	reviewed	ATP7A_MOUSE	Copper-transporting ATPase 1 (EC 7.2.2.8) (Copper pump 1) (Menkes disease-associated protein homolog)	Atp7a Mnk	Mus musculus (Mouse)	1491	ATP metabolic process [GO:0046034]; blood vessel development [GO:0001568]; blood vessel remodeling [GO:0001974]; cartilage development [GO:0051216]; catecholamine metabolic process [GO:0006584]; cellular response to amino acid stimulus [GO:0071230]; cellular response to copper ion [GO:0071280]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; central nervous system neuron development [GO:0021954]; cerebellar Purkinje cell differentiation [GO:0021702]; collagen fibril organization [GO:0030199]; copper ion export [GO:0060003]; copper ion homeostasis [GO:0055070]; copper ion import [GO:0015677]; copper ion transport [GO:0006825]; dendrite morphogenesis [GO:0048813]; detoxification of copper ion [GO:0010273]; dopamine metabolic process [GO:0042417]; elastic fiber assembly [GO:0048251]; elastin biosynthetic process [GO:0051542]; epinephrine metabolic process [GO:0042414]; establishment of localization in cell [GO:0051649]; extracellular matrix organization [GO:0030198]; hair follicle morphogenesis [GO:0031069]; intracellular copper ion homeostasis [GO:0006878]; locomotory behavior [GO:0007626]; lung alveolus development [GO:0048286]; mitochondrion organization [GO:0007005]; negative regulation of catecholamine metabolic process [GO:0045914]; negative regulation of iron ion transmembrane transport [GO:0034760]; negative regulation of neuron apoptotic process [GO:0043524]; neuron apoptotic process [GO:0051402]; neuron cellular homeostasis [GO:0070050]; neuron projection morphogenesis [GO:0048812]; norepinephrine biosynthetic process [GO:0042421]; norepinephrine metabolic process [GO:0042415]; peptidyl-lysine modification [GO:0018205]; pigmentation [GO:0043473]; positive regulation of catalytic activity [GO:0043085]; positive regulation of cell size [GO:0045793]; positive regulation of cytochrome-c oxidase activity [GO:1904960]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of melanin biosynthetic process [GO:0048023]; positive regulation of response to wounding [GO:1903036]; positive regulation of superoxide dismutase activity [GO:1901671]; positive regulation of tyrosinase activity [GO:0032773]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; pyramidal neuron development [GO:0021860]; regulation of cytochrome-c oxidase activity [GO:1904959]; regulation of gene expression [GO:0010468]; regulation of oxidative phosphorylation [GO:0002082]; release of cytochrome c from mitochondria [GO:0001836]; removal of superoxide radicals [GO:0019430]; response to copper ion [GO:0046688]; response to manganese ion [GO:0010042]; serotonin metabolic process [GO:0042428]; skin development [GO:0043588]; T-helper cell differentiation [GO:0042093]; tryptophan metabolic process [GO:0006568]; tyrosine metabolic process [GO:0006570]	apical plasma membrane [GO:0016324]; axon [GO:0030424]; basolateral plasma membrane [GO:0016323]; brush border membrane [GO:0031526]; cell leading edge [GO:0031252]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendrite [GO:0030425]; early endosome membrane [GO:0031901]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; late endosome [GO:0005770]; melanosome membrane [GO:0033162]; membrane [GO:0016020]; membrane raft [GO:0045121]; microvillus [GO:0005902]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; secretory granule [GO:0030141]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588]; trans-Golgi network transport vesicle [GO:0030140]	apical plasma membrane [GO:0016324]; axon [GO:0030424]; basolateral plasma membrane [GO:0016323]; brush border membrane [GO:0031526]; cell leading edge [GO:0031252]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; dendrite [GO:0030425]; early endosome membrane [GO:0031901]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; late endosome [GO:0005770]; melanosome membrane [GO:0033162]; membrane [GO:0016020]; membrane raft [GO:0045121]; microvillus [GO:0005902]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; secretory granule [GO:0030141]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588]; trans-Golgi network transport vesicle [GO:0030140]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; copper ion binding [GO:0005507]; copper ion transmembrane transporter activity [GO:0005375]; copper-dependent protein binding [GO:0032767]; cuprous ion binding [GO:1903136]; P-type divalent copper transporter activity [GO:0043682]; P-type monovalent copper transporter activity [GO:0140581]; protein-folding chaperone binding [GO:0051087]; small GTPase binding [GO:0031267]; superoxide dismutase copper chaperone activity [GO:0016532]; ATP metabolic process [GO:0046034]; blood vessel development [GO:0001568]; blood vessel remodeling [GO:0001974]; cartilage development [GO:0051216]; catecholamine metabolic process [GO:0006584]; cellular response to amino acid stimulus [GO:0071230]; cellular response to copper ion [GO:0071280]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; central nervous system neuron development [GO:0021954]; cerebellar Purkinje cell differentiation [GO:0021702]; collagen fibril organization [GO:0030199]; copper ion export [GO:0060003]; copper ion homeostasis [GO:0055070]; copper ion import [GO:0015677]; copper ion transport [GO:0006825]; dendrite morphogenesis [GO:0048813]; detoxification of copper ion [GO:0010273]; dopamine metabolic process [GO:0042417]; elastic fiber assembly [GO:0048251]; elastin biosynthetic process [GO:0051542]; epinephrine metabolic process [GO:0042414]; establishment of localization in cell [GO:0051649]; extracellular matrix organization [GO:0030198]; hair follicle morphogenesis [GO:0031069]; intracellular copper ion homeostasis [GO:0006878]; locomotory behavior [GO:0007626]; lung alveolus development [GO:0048286]; mitochondrion organization [GO:0007005]; negative regulation of catecholamine metabolic process [GO:0045914]; negative regulation of iron ion transmembrane transport [GO:0034760]; negative regulation of neuron apoptotic process [GO:0043524]; neuron apoptotic process [GO:0051402]; neuron cellular homeostasis [GO:0070050]; neuron projection morphogenesis [GO:0048812]; norepinephrine biosynthetic process [GO:0042421]; norepinephrine metabolic process [GO:0042415]; peptidyl-lysine modification [GO:0018205]; pigmentation [GO:0043473]; positive regulation of catalytic activity [GO:0043085]; positive regulation of cell size [GO:0045793]; positive regulation of cytochrome-c oxidase activity [GO:1904960]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of melanin biosynthetic process [GO:0048023]; positive regulation of response to wounding [GO:1903036]; positive regulation of superoxide dismutase activity [GO:1901671]; positive regulation of tyrosinase activity [GO:0032773]; positive regulation of vascular associated smooth muscle cell migration [GO:1904754]; pyramidal neuron development [GO:0021860]; regulation of cytochrome-c oxidase activity [GO:1904959]; regulation of gene expression [GO:0010468]; regulation of oxidative phosphorylation [GO:0002082]; release of cytochrome c from mitochondria [GO:0001836]; removal of superoxide radicals [GO:0019430]; response to copper ion [GO:0046688]; response to manganese ion [GO:0010042]; serotonin metabolic process [GO:0042428]; skin development [GO:0043588]; T-helper cell differentiation [GO:0042093]; tryptophan metabolic process [GO:0006568]; tyrosine metabolic process [GO:0006570]	SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:16371425, ECO:0000269|PubMed:18650808, ECO:0000269|PubMed:27337370}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000269|PubMed:27337370}; Multi-pass membrane protein {ECO:0000255}. Melanosome membrane {ECO:0000269|PubMed:18650808}; Multi-pass membrane protein {ECO:0000255}. Early endosome membrane {ECO:0000269|PubMed:27337370}; Multi-pass membrane protein {ECO:0000255}. Cell projection, axon {ECO:0000250|UniProtKB:P70705}. Cell projection, dendrite {ECO:0000250|UniProtKB:P70705}. Postsynaptic density {ECO:0000250|UniProtKB:P70705}. Note=Cycles constitutively between the TGN and the plasma membrane. Predominantly found in the TGN and relocalized to the plasma membrane in response to elevated copper levels (PubMed:27337370). Targeting into melanosomes is regulated by BLOC-1 complex (PubMed:18650808). In response to glutamate translocates to neuron processes with a minor fraction at extrasynaptic sites (By similarity). {ECO:0000250|UniProtKB:P70705, ECO:0000269|PubMed:18650808, ECO:0000269|PubMed:27337370}.
Q64446	reviewed	ATP7B_MOUSE	Copper-transporting ATPase 2 (EC 7.2.2.8) (Copper pump 2) (Wilson disease-associated protein homolog)	Atp7b Wnd	Mus musculus (Mouse)	1462	cellular response to copper ion [GO:0071280]; copper ion export [GO:0060003]; copper ion import [GO:0015677]; copper ion transport [GO:0006825]; establishment of localization in cell [GO:0051649]; intracellular copper ion homeostasis [GO:0006878]; intracellular zinc ion homeostasis [GO:0006882]; lactation [GO:0007595]; protein maturation by copper ion transfer [GO:0015680]; response to copper ion [GO:0046688]; sequestering of calcium ion [GO:0051208]	apical part of cell [GO:0045177]; basolateral plasma membrane [GO:0016323]; bicellular tight junction [GO:0005923]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; late endosome [GO:0005770]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; tight junction [GO:0070160]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588]	apical part of cell [GO:0045177]; basolateral plasma membrane [GO:0016323]; bicellular tight junction [GO:0005923]; cytoplasmic vesicle [GO:0031410]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; late endosome [GO:0005770]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; tight junction [GO:0070160]; trans-Golgi network [GO:0005802]; trans-Golgi network membrane [GO:0032588]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; copper ion binding [GO:0005507]; copper ion transmembrane transporter activity [GO:0005375]; P-type divalent copper transporter activity [GO:0043682]; P-type monovalent copper transporter activity [GO:0140581]; zinc ion binding [GO:0008270]; cellular response to copper ion [GO:0071280]; copper ion export [GO:0060003]; copper ion import [GO:0015677]; copper ion transport [GO:0006825]; establishment of localization in cell [GO:0051649]; intracellular copper ion homeostasis [GO:0006878]; intracellular zinc ion homeostasis [GO:0006882]; lactation [GO:0007595]; protein maturation by copper ion transfer [GO:0015680]; response to copper ion [GO:0046688]; sequestering of calcium ion [GO:0051208]	SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:P35670}; Multi-pass membrane protein {ECO:0000255}. Late endosome {ECO:0000250|UniProtKB:P35670}. Note=Predominantly found in the trans-Golgi network (TGN). Not redistributed to the plasma membrane in response to elevated copper levels. {ECO:0000250|UniProtKB:P35670}.
Q64685	reviewed	SIAT1_MOUSE	Beta-galactoside alpha-2,6-sialyltransferase 1 (Alpha 2,6-ST 1) (EC 2.4.3.1) (CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,6-sialyltransferase 1) (ST6Gal I) (ST6GalI) (Sialyltransferase 1)	St6gal1 Siat1	Mus musculus (Mouse)	403	N-acetylneuraminate metabolic process [GO:0006054]; negative regulation of chemotaxis [GO:0050922]; negative regulation of macrophage apoptotic process [GO:2000110]; positive regulation of mononuclear cell proliferation [GO:0032946]; protein glycosylation [GO:0006486]; protein N-linked glycosylation via asparagine [GO:0018279]; protein sialylation [GO:1990743]; regulation of substrate adhesion-dependent cell spreading [GO:1900024]; response to ethanol [GO:0045471]; sialylation [GO:0097503]	endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; Golgi medial cisterna [GO:0005797]; Golgi membrane [GO:0000139]; Golgi trans cisterna [GO:0000138]	endoplasmic reticulum [GO:0005783]; extracellular region [GO:0005576]; Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; Golgi medial cisterna [GO:0005797]; Golgi membrane [GO:0000139]; Golgi trans cisterna [GO:0000138]; beta-galactoside alpha-2,6-sialyltransferase activity [GO:0003835]; protein homodimerization activity [GO:0042803]; sialyltransferase activity [GO:0008373]; N-acetylneuraminate metabolic process [GO:0006054]; negative regulation of chemotaxis [GO:0050922]; negative regulation of macrophage apoptotic process [GO:2000110]; positive regulation of mononuclear cell proliferation [GO:0032946]; protein glycosylation [GO:0006486]; protein N-linked glycosylation via asparagine [GO:0018279]; protein sialylation [GO:1990743]; regulation of substrate adhesion-dependent cell spreading [GO:1900024]; response to ethanol [GO:0045471]; sialylation [GO:0097503]	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000250|UniProtKB:P15907}; Single-pass type II membrane protein. Secreted. Note=Membrane-bound form in trans cisternae of Golgi. Secreted into the body fluid.
Q64687	reviewed	SIA8A_MOUSE	Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase (EC 2.4.3.8) (Alpha-2,8-sialyltransferase 8A) (Ganglioside GD3 synthase) (Ganglioside GT3 synthase) (Sialyltransferase 8A) (SIAT8-A) (Sialyltransferase St8Sia I) (ST8SiaI)	St8sia1 Siat8 Siat8a	Mus musculus (Mouse)	355	cell population proliferation [GO:0008283]; cellular response to heat [GO:0034605]; epithelial cell proliferation [GO:0050673]; N-glycan processing [GO:0006491]; oligosaccharide metabolic process [GO:0009311]; positive regulation of epithelial cell proliferation [GO:0050679]; protein glycosylation [GO:0006486]; sphingolipid metabolic process [GO:0006665]	Golgi membrane [GO:0000139]	Golgi membrane [GO:0000139]; alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity [GO:0003828]; sialyltransferase activity [GO:0008373]; cell population proliferation [GO:0008283]; cellular response to heat [GO:0034605]; epithelial cell proliferation [GO:0050673]; N-glycan processing [GO:0006491]; oligosaccharide metabolic process [GO:0009311]; positive regulation of epithelial cell proliferation [GO:0050679]; protein glycosylation [GO:0006486]; sphingolipid metabolic process [GO:0006665]	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
Q64689	reviewed	SIA8C_MOUSE	Sia-alpha-2,3-Gal-beta-1,4-GlcNAc-R:alpha 2,8-sialyltransferase (EC 2.4.99.-) (Alpha-2,8-sialyltransferase 8C) (Alpha-2,8-sialyltransferase III) (ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3) (Sialyltransferase 8C) (SIAT8-C) (Sialyltransferase St8Sia III) (ST8SiaIII)	St8sia3 Siat8c	Mus musculus (Mouse)	380	ganglioside biosynthetic process [GO:0001574]; glycoprotein metabolic process [GO:0009100]; N-glycan processing [GO:0006491]; oligosaccharide metabolic process [GO:0009311]; protein glycosylation [GO:0006486]; protein sialylation [GO:1990743]	Golgi membrane [GO:0000139]	Golgi membrane [GO:0000139]; alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity [GO:0003828]; identical protein binding [GO:0042802]; sialyltransferase activity [GO:0008373]; ganglioside biosynthetic process [GO:0001574]; glycoprotein metabolic process [GO:0009100]; N-glycan processing [GO:0006491]; oligosaccharide metabolic process [GO:0009311]; protein glycosylation [GO:0006486]; protein sialylation [GO:1990743]	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
Q64692	reviewed	SIA8D_MOUSE	CMP-N-acetylneuraminate-poly-alpha-2,8-sialyltransferase (EC 2.4.99.-) (Alpha-2,8-sialyltransferase 8D) (Polysialyltransferase-1) (Sialyltransferase 8D) (SIAT8-D) (Sialyltransferase St8Sia IV) (ST8SiaIV)	St8sia4 Pst Siat8d	Mus musculus (Mouse)	359	ganglioside biosynthetic process [GO:0001574]; N-glycan processing [GO:0006491]; oligosaccharide metabolic process [GO:0009311]; protein glycosylation [GO:0006486]	Golgi membrane [GO:0000139]	Golgi membrane [GO:0000139]; alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity [GO:0003828]; ganglioside biosynthetic process [GO:0001574]; N-glycan processing [GO:0006491]; oligosaccharide metabolic process [GO:0009311]; protein glycosylation [GO:0006486]	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
Q67BJ4	reviewed	A4GAT_MOUSE	Lactosylceramide 4-alpha-galactosyltransferase (EC 2.4.1.228) (Alpha-1,4-N-acetylglucosaminyltransferase) (Alpha-1,4-galactosyltransferase) (Alpha4Gal-T1) (Globotriaosylceramide synthase) (Gb3 synthase) (UDP-galactose:beta-D-galactosyl-beta1-R 4-alpha-D-galactosyltransferase)	A4galt	Mus musculus (Mouse)	359	globoside biosynthetic process [GO:0001576]; plasma membrane organization [GO:0007009]; protein O-linked glycosylation [GO:0006493]	Golgi membrane [GO:0000139]; membrane [GO:0016020]	Golgi membrane [GO:0000139]; membrane [GO:0016020]; acetylglucosaminyltransferase activity [GO:0008375]; galactosyltransferase activity [GO:0008378]; lactosylceramide 4-alpha-galactosyltransferase activity [GO:0050512]; toxic substance binding [GO:0015643]; globoside biosynthetic process [GO:0001576]; plasma membrane organization [GO:0007009]; protein O-linked glycosylation [GO:0006493]	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.
Q68FE2	reviewed	ATG9A_MOUSE	Autophagy-related protein 9A (APG9-like 1)	Atg9a Apg9l1	Mus musculus (Mouse)	839	autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; autophagy of mitochondrion [GO:0000422]; bone morphogenesis [GO:0060349]; innate immune response [GO:0045087]; late nucleophagy [GO:0044805]; negative regulation of interferon-beta production [GO:0032688]; negative regulation of macrophage cytokine production [GO:0010936]; positive regulation of necrotic cell death [GO:0010940]; protein localization to Golgi apparatus [GO:0034067]; protein localization to phagophore assembly site [GO:0034497]	autophagosome [GO:0005776]; cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; endosome [GO:0005768]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; phagophore assembly site [GO:0000407]; phagophore assembly site membrane [GO:0034045]; recycling endosome [GO:0055037]; recycling endosome membrane [GO:0055038]; synaptic vesicle [GO:0008021]; trans-Golgi network [GO:0005802]	autophagosome [GO:0005776]; cytoplasm [GO:0005737]; endoplasmic reticulum membrane [GO:0005789]; endosome [GO:0005768]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; late endosome [GO:0005770]; late endosome membrane [GO:0031902]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; phagophore assembly site [GO:0000407]; phagophore assembly site membrane [GO:0034045]; recycling endosome [GO:0055037]; recycling endosome membrane [GO:0055038]; synaptic vesicle [GO:0008021]; trans-Golgi network [GO:0005802]; phospholipid scramblase activity [GO:0017128]; autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; autophagy of mitochondrion [GO:0000422]; bone morphogenesis [GO:0060349]; innate immune response [GO:0045087]; late nucleophagy [GO:0044805]; negative regulation of interferon-beta production [GO:0032688]; negative regulation of macrophage cytokine production [GO:0010936]; positive regulation of necrotic cell death [GO:0010940]; protein localization to Golgi apparatus [GO:0034067]; protein localization to phagophore assembly site [GO:0034497]	SUBCELLULAR LOCATION: Preautophagosomal structure membrane {ECO:0000250|UniProtKB:Q7Z3C6}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q7Z3C6}. Cytoplasmic vesicle, autophagosome membrane {ECO:0000269|PubMed:15755735}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q7Z3C6}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:27587839}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q7Z3C6}. Late endosome membrane {ECO:0000250|UniProtKB:Q7Z3C6}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q7Z3C6}. Recycling endosome membrane {ECO:0000269|PubMed:27587839}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q7Z3C6}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q7Z3C6}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q7Z3C6}. Mitochondrion membrane {ECO:0000250|UniProtKB:Q7Z3C6}; Multi-pass membrane protein {ECO:0000255}. Note=Mainly localizes to the trans-Golgi network (TGN) and the endosomal system; cycles between them though vesicle trafficking (PubMed:27587839). Export from the TGN to promote formation of autophagosomes is mediated by the AP-4 complex. Under amino acid starvation or rapamycin treatment, redistributes to preautophagosomal structure/phagophore assembly site (PAS). The starvation-induced redistribution depends on ULK1, ATG13, as well as SH3GLB1. Upon autophagy induction, a portion of transiently localizes to the autophagic membranes (By similarity). Recruited to damaged mitochondria during mitophagy in a RIMOC1-dependent manner (By similarity). {ECO:0000250|UniProtKB:Q7Z3C6, ECO:0000269|PubMed:27587839}.
Q68FE6	reviewed	RIPR1_MOUSE	Rho family-interacting cell polarization regulator 1	Ripor1 Fam65a Kiaa1930	Mus musculus (Mouse)	1223	cellular response to chemokine [GO:1990869]; cellular response to starvation [GO:0009267]; establishment of Golgi localization [GO:0051683]; negative regulation of Rho guanyl-nucleotide exchange factor activity [GO:2001107]; negative regulation of Rho protein signal transduction [GO:0035024]; positive regulation of cell migration [GO:0030335]; positive regulation of intracellular protein transport [GO:0090316]; protein localization to Golgi apparatus [GO:0034067]; response to wounding [GO:0009611]; Rho protein signal transduction [GO:0007266]	cell leading edge [GO:0031252]; cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]	cell leading edge [GO:0031252]; cytoplasm [GO:0005737]; Golgi apparatus [GO:0005794]; membrane [GO:0016020]; 14-3-3 protein binding [GO:0071889]; cellular response to chemokine [GO:1990869]; cellular response to starvation [GO:0009267]; establishment of Golgi localization [GO:0051683]; negative regulation of Rho guanyl-nucleotide exchange factor activity [GO:2001107]; negative regulation of Rho protein signal transduction [GO:0035024]; positive regulation of cell migration [GO:0030335]; positive regulation of intracellular protein transport [GO:0090316]; protein localization to Golgi apparatus [GO:0034067]; response to wounding [GO:0009611]; Rho protein signal transduction [GO:0007266]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17251388}. Golgi apparatus {ECO:0000250|UniProtKB:Q6ZS17}. Note=Localizes to the podocyte major processes and cell body (PubMed:17251388). Colocalized with STK26 in the Golgi of serum-starved cells and relocated to cytoplasmic punctae, probably vesicular compartments, along with STK26 upon serum stimulation in a Rho- and PDCD10-dependent manner (By similarity). {ECO:0000250|UniProtKB:Q6ZS17, ECO:0000269|PubMed:17251388}.
Q69ZF3	reviewed	GBA2_MOUSE	Non-lysosomal glucosylceramidase (NLGase) (EC 3.2.1.45) (Beta-glucocerebrosidase 2) (Beta-glucosidase 2) (Bile acid beta-glucosidase GBA2) (Bile acid glucosyl transferase GBA2) (Cholesterol glucosyltransferase GBA2) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase GBA2) (EC 3.2.1.-) (Glucosylceramidase 2) (Non-lysosomal cholesterol glycosyltransferase) (Non-lysosomal galactosylceramidase) (EC 3.2.1.46) (Non-lysosomal glycosylceramidase)	Gba2 Kiaa1605	Mus musculus (Mouse)	918	carbohydrate metabolic process [GO:0005975]; central nervous system development [GO:0007417]; central nervous system neuron development [GO:0021954]; cholesterol metabolic process [GO:0008203]; glucosylceramide catabolic process [GO:0006680]; glycoside catabolic process [GO:0016139]; lipid glycosylation [GO:0030259]; regulation of actin filament polymerization [GO:0030833]; regulation of membrane lipid distribution [GO:0097035]; regulation of microtubule polymerization [GO:0031113]	cytosol [GO:0005829]; extrinsic component of endoplasmic reticulum membrane [GO:0042406]; extrinsic component of Golgi membrane [GO:0090498]; extrinsic component of membrane [GO:0019898]; membrane [GO:0016020]	cytosol [GO:0005829]; extrinsic component of endoplasmic reticulum membrane [GO:0042406]; extrinsic component of Golgi membrane [GO:0090498]; extrinsic component of membrane [GO:0019898]; membrane [GO:0016020]; beta-glucosidase activity [GO:0008422]; galactosylceramidase activity [GO:0004336]; glucosylceramidase activity [GO:0004348]; glucosyltransferase activity [GO:0046527]; steryl-beta-glucosidase activity [GO:0050295]; carbohydrate metabolic process [GO:0005975]; central nervous system development [GO:0007417]; central nervous system neuron development [GO:0021954]; cholesterol metabolic process [GO:0008203]; glucosylceramide catabolic process [GO:0006680]; glycoside catabolic process [GO:0016139]; lipid glycosylation [GO:0030259]; regulation of actin filament polymerization [GO:0030833]; regulation of membrane lipid distribution [GO:0097035]; regulation of microtubule polymerization [GO:0031113]	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:23250757}; Peripheral membrane protein {ECO:0000269|PubMed:23250757}; Cytoplasmic side {ECO:0000269|PubMed:23250757}. Golgi apparatus membrane {ECO:0000269|PubMed:23250757}; Peripheral membrane protein {ECO:0000269|PubMed:23250757}; Cytoplasmic side {ECO:0000269|PubMed:23250757}. Note=Localization to the plasma membrane and alternative topologies have also been reported. {ECO:0000250|UniProtKB:Q9HCG7}.
Q69ZI1	reviewed	SH3R1_MOUSE	E3 ubiquitin-protein ligase SH3RF1 (EC 2.3.2.27) (Plenty of SH3s) (Protein POSH) (RING-type E3 ubiquitin transferase SH3RF1) (SH3 domain-containing RING finger protein 1) (SH3 multiple domains protein 2)	Sh3rf1 Kiaa1494 Posh Posh1 Sh3md2	Mus musculus (Mouse)	892	negative regulation of apoptotic process [GO:0043066]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; neuron migration [GO:0001764]; positive regulation of JNK cascade [GO:0046330]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein autoubiquitination [GO:0051865]; protein ubiquitination [GO:0016567]; regulation of CD4-positive, alpha-beta T cell differentiation [GO:0043370]; regulation of CD8-positive, alpha-beta T cell proliferation [GO:2000564]	cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; lamellipodium [GO:0030027]; perinuclear region of cytoplasm [GO:0048471]	cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; lamellipodium [GO:0030027]; perinuclear region of cytoplasm [GO:0048471]; MAP-kinase scaffold activity [GO:0005078]; metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; neuron migration [GO:0001764]; positive regulation of JNK cascade [GO:0046330]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; protein autoubiquitination [GO:0051865]; protein ubiquitination [GO:0016567]; regulation of CD4-positive, alpha-beta T cell differentiation [GO:0043370]; regulation of CD8-positive, alpha-beta T cell proliferation [GO:2000564]	SUBCELLULAR LOCATION: Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q71F54}. Cell projection, lamellipodium {ECO:0000269|PubMed:14504284, ECO:0000269|PubMed:22959435}. Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:14504284}. Note=Colocalizes, with AKT2 in lamellipodia. Colocalizes, with HERP1, in trans-Golgi network (By similarity). {ECO:0000250|UniProtKB:Q7Z6J0, ECO:0000269|PubMed:14504284}.
